PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=9.41 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=10.0 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=7.81 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=12.1 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=8.72 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=9.30 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=10.5 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=6.36 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=9.38 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=7.31 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=10.7 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=7.97 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=10.8 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=11.3 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=7.89 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=8.13 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=13.2 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=11.1 ms
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=8.03 ms
64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=9.53 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=8.59 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=12.4 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=6.33 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=7.15 ms
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=15.5 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=8.85 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=6.65 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=9.80 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=8.33 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=12.1 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=12.0 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=8.81 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=10.7 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=11.5 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=6.88 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=7.30 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=8.52 ms
64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=11.1 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=19.2 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=9.71 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=12.0 ms
64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=6.62 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=11.7 ms
64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=6.61 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=10.1 ms
64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=8.53 ms
64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=8.87 ms
64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=6.31 ms
64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=10.7 ms
64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=6.91 ms
64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=9.16 ms
64 bytes from 10.0.0.2: icmp_seq=251 ttl=64 time=5.64 ms
64 bytes from 10.0.0.2: icmp_seq=253 ttl=64 time=11.8 ms
64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=25.4 ms
64 bytes from 10.0.0.2: icmp_seq=255 ttl=64 time=9.75 ms
64 bytes from 10.0.0.2: icmp_seq=256 ttl=64 time=6.92 ms
64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=10.3 ms
64 bytes from 10.0.0.2: icmp_seq=259 ttl=64 time=10.6 ms
64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=6.07 ms
64 bytes from 10.0.0.2: icmp_seq=261 ttl=64 time=8.16 ms
64 bytes from 10.0.0.2: icmp_seq=262 ttl=64 time=8.39 ms
64 bytes from 10.0.0.2: icmp_seq=263 ttl=64 time=11.1 ms
64 bytes from 10.0.0.2: icmp_seq=264 ttl=64 time=9.79 ms
64 bytes from 10.0.0.2: icmp_seq=265 ttl=64 time=11.5 ms
64 bytes from 10.0.0.2: icmp_seq=266 ttl=64 time=10.7 ms
64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=27.4 ms
64 bytes from 10.0.0.2: icmp_seq=269 ttl=64 time=4.29 ms
64 bytes from 10.0.0.2: icmp_seq=270 ttl=64 time=10.8 ms
64 bytes from 10.0.0.2: icmp_seq=272 ttl=64 time=9.03 ms
64 bytes from 10.0.0.2: icmp_seq=273 ttl=64 time=11.0 ms
64 bytes from 10.0.0.2: icmp_seq=274 ttl=64 time=11.5 ms
64 bytes from 10.0.0.2: icmp_seq=276 ttl=64 time=12.5 ms
64 bytes from 10.0.0.2: icmp_seq=278 ttl=64 time=12.9 ms
64 bytes from 10.0.0.2: icmp_seq=279 ttl=64 time=9.88 ms
64 bytes from 10.0.0.2: icmp_seq=280 ttl=64 time=9.81 ms
64 bytes from 10.0.0.2: icmp_seq=281 ttl=64 time=8.01 ms
64 bytes from 10.0.0.2: icmp_seq=283 ttl=64 time=9.37 ms
64 bytes from 10.0.0.2: icmp_seq=284 ttl=64 time=8.83 ms
64 bytes from 10.0.0.2: icmp_seq=285 ttl=64 time=4.90 ms
64 bytes from 10.0.0.2: icmp_seq=286 ttl=64 time=7.28 ms
64 bytes from 10.0.0.2: icmp_seq=288 ttl=64 time=6.68 ms
64 bytes from 10.0.0.2: icmp_seq=290 ttl=64 time=11.1 ms
64 bytes from 10.0.0.2: icmp_seq=291 ttl=64 time=12.1 ms
64 bytes from 10.0.0.2: icmp_seq=292 ttl=64 time=6.41 ms
64 bytes from 10.0.0.2: icmp_seq=294 ttl=64 time=10.5 ms
64 bytes from 10.0.0.2: icmp_seq=297 ttl=64 time=11.8 ms
64 bytes from 10.0.0.2: icmp_seq=298 ttl=64 time=10.3 ms
64 bytes from 10.0.0.2: icmp_seq=301 ttl=64 time=9.89 ms
64 bytes from 10.0.0.2: icmp_seq=302 ttl=64 time=12.9 ms
64 bytes from 10.0.0.2: icmp_seq=303 ttl=64 time=8.78 ms
64 bytes from 10.0.0.2: icmp_seq=304 ttl=64 time=8.23 ms
64 bytes from 10.0.0.2: icmp_seq=306 ttl=64 time=17.4 ms
64 bytes from 10.0.0.2: icmp_seq=307 ttl=64 time=22.1 ms
64 bytes from 10.0.0.2: icmp_seq=308 ttl=64 time=7.80 ms
64 bytes from 10.0.0.2: icmp_seq=309 ttl=64 time=10.1 ms
64 bytes from 10.0.0.2: icmp_seq=310 ttl=64 time=9.79 ms
64 bytes from 10.0.0.2: icmp_seq=311 ttl=64 time=13.1 ms
64 bytes from 10.0.0.2: icmp_seq=312 ttl=64 time=6.14 ms
64 bytes from 10.0.0.2: icmp_seq=314 ttl=64 time=9.21 ms
64 bytes from 10.0.0.2: icmp_seq=316 ttl=64 time=10.1 ms
64 bytes from 10.0.0.2: icmp_seq=317 ttl=64 time=13.9 ms
64 bytes from 10.0.0.2: icmp_seq=318 ttl=64 time=7.83 ms
64 bytes from 10.0.0.2: icmp_seq=321 ttl=64 time=10.6 ms
64 bytes from 10.0.0.2: icmp_seq=324 ttl=64 time=14.1 ms
64 bytes from 10.0.0.2: icmp_seq=327 ttl=64 time=10.9 ms
64 bytes from 10.0.0.2: icmp_seq=328 ttl=64 time=9.53 ms
64 bytes from 10.0.0.2: icmp_seq=330 ttl=64 time=6.94 ms
64 bytes from 10.0.0.2: icmp_seq=331 ttl=64 time=12.1 ms
64 bytes from 10.0.0.2: icmp_seq=332 ttl=64 time=9.02 ms
64 bytes from 10.0.0.2: icmp_seq=333 ttl=64 time=8.35 ms
64 bytes from 10.0.0.2: icmp_seq=335 ttl=64 time=9.14 ms
64 bytes from 10.0.0.2: icmp_seq=336 ttl=64 time=9.19 ms
64 bytes from 10.0.0.2: icmp_seq=337 ttl=64 time=11.0 ms
64 bytes from 10.0.0.2: icmp_seq=339 ttl=64 time=10.9 ms
64 bytes from 10.0.0.2: icmp_seq=340 ttl=64 time=3.95 ms
64 bytes from 10.0.0.2: icmp_seq=341 ttl=64 time=9.24 ms
64 bytes from 10.0.0.2: icmp_seq=346 ttl=64 time=24.9 ms
64 bytes from 10.0.0.2: icmp_seq=347 ttl=64 time=5.15 ms
64 bytes from 10.0.0.2: icmp_seq=348 ttl=64 time=40.0 ms
64 bytes from 10.0.0.2: icmp_seq=349 ttl=64 time=9.96 ms
64 bytes from 10.0.0.2: icmp_seq=352 ttl=64 time=9.39 ms
64 bytes from 10.0.0.2: icmp_seq=353 ttl=64 time=61.3 ms
64 bytes from 10.0.0.2: icmp_seq=354 ttl=64 time=7.36 ms
64 bytes from 10.0.0.2: icmp_seq=355 ttl=64 time=13.1 ms
64 bytes from 10.0.0.2: icmp_seq=356 ttl=64 time=11.9 ms
64 bytes from 10.0.0.2: icmp_seq=357 ttl=64 time=10.7 ms
64 bytes from 10.0.0.2: icmp_seq=358 ttl=64 time=11.0 ms
64 bytes from 10.0.0.2: icmp_seq=359 ttl=64 time=10.1 ms
64 bytes from 10.0.0.2: icmp_seq=360 ttl=64 time=8.31 ms
64 bytes from 10.0.0.2: icmp_seq=362 ttl=64 time=8.60 ms
64 bytes from 10.0.0.2: icmp_seq=363 ttl=64 time=9.72 ms
64 bytes from 10.0.0.2: icmp_seq=364 ttl=64 time=11.3 ms
64 bytes from 10.0.0.2: icmp_seq=365 ttl=64 time=0.169 ms
64 bytes from 10.0.0.2: icmp_seq=366 ttl=64 time=11.2 ms
